,time_in,sample_receipt_in,sample_receipt_out,sample_prep_auto_in,sample_prep_auto_out,sample_prep_manual_in,sample_prep_manual_out,sample_heat_in,sample_heat_out,rna_extraction_in,rna_extraction_out,pcr_prep_in,pcr_prep_out,pcr_in,pcr_out,data_analysis_in,data_analysis_out,priority
65,2880,0.0,22.37843236703975,23.0,83.53396127701853,,,86.0,588.1662153146099,599.0,721.526891721217,723.0,759.8640305917029,760.0,864.7847301858574,865.0,875.7959358311582,1
66,2880,0.0,22.37843236703975,23.0,83.53396127701853,,,86.0,588.1662153146099,608.0,735.3415555945658,737.0,772.566748245335,773.0,882.2589075896399,883.0,895.0528972040206,1
67,2880,0.0,23.159556459879695,,,24.0,70.37938172897384,74.0,150.42707666940896,205.0,327.5590758623157,329.0,364.80112312607207,365.0,473.10617377581,474.0,484.7682843803591,1
68,2880,0.0,23.159556459879695,,,24.0,70.37938172897384,74.0,150.42707666940896,218.0,344.3974236688573,346.0,382.5766829913364,383.0,488.2086390604727,489.0,500.274671118937,1
69,2880,0.0,22.796262615277556,23.0,96.61689658590376,,,99.0,159.0299067571077,191.0,321.89301930974307,323.0,363.8441576711698,364.0,472.26020847452355,473.0,484.45065700788746,1
70,2880,0.0,23.24053290167376,,,24.0,76.32412841882069,77.0,589.625979651395,615.0,747.3514305564254,785.0,824.8774239916061,825.0,930.1610470178443,931.0,941.1981295638388,1
71,2880,0.0,23.24053290167376,,,24.0,76.32412841882069,77.0,589.625979651395,658.0,783.3133961667236,789.0,825.502684856358,826.0,936.3848059816405,937.0,947.1674462085939,1
72,2880,0.0,24.514438029366374,,,25.0,93.31903413070131,95.0,167.2579638393654,198.0,324.1203690204047,343.0,378.68962558612566,379.0,488.5648629760567,489.0,499.1183650981807,1
73,2880,0.0,24.20726762867389,,,25.0,397.5024984288925,411.0,490.4580522821607,513.0,639.6710185031998,641.0,677.3339345445575,678.0,784.7340216058474,785.0,795.3281757274872,1
74,2880,0.0,24.20726762867389,,,25.0,397.5024984288925,411.0,490.4580522821607,513.0,636.3235791065204,638.0,674.544681670382,675.0,783.8356665634651,784.0,795.6255208609668,1
75,2880,0.0,25.251184496499718,,,26.0,234.4069481335232,235.0,267.4495646597238,285.0,409.3167908026344,434.0,470.2988516338769,471.0,578.6344982207643,579.0,590.3714912091441,1
76,2880,0.0,25.251184496499718,,,26.0,234.4069481335232,235.0,267.4495646597238,308.0,432.4160562600018,458.0,496.308681768905,497.0,605.3471995513191,606.0,617.0450107543443,1
77,2880,23.0,47.71954290783424,,,48.0,304.5442140466339,312.0,339.51826921420115,358.0,481.0758290938538,483.0,518.3696118194534,519.0,629.5677792842625,630.0,640.363122907961,1
78,2880,23.0,47.71954290783424,,,48.0,304.5442140466339,312.0,339.51826921420115,369.0,497.01969970612754,499.0,537.0124043108854,538.0,641.8107119273159,642.0,652.8681827070932,1
79,2880,23.0,49.418586802487425,,,69.0,163.9057146525397,169.0,215.5260107646568,228.0,351.3570313731452,361.0,398.94002689910803,399.0,503.60220571309264,504.0,514.466819720546,1
