,time_in,sample_preprocess_in,sample_preprocess_out,sample_receipt_in,sample_receipt_out,sample_prep_auto_in,sample_prep_auto_out,sample_prep_manual_in,sample_prep_manual_out,sample_heat_in,sample_heat_out,rna_extraction_in,rna_extraction_out,pcr_prep_in,pcr_prep_out,pcr_in,pcr_out,data_analysis_in,data_analysis_out,priority
46,2880,0.0,12.062448573042275,13.0,49.19462525709696,,,50.0,81.15489089057246,83.0,111.08566383896095,128.0,253.82683035761647,295.0,310.077392780257,311.0,415.8947238657288,416.0,426.13761614531677,1
47,2880,0.0,12.062448573042275,13.0,49.19462525709696,,,50.0,81.15489089057246,83.0,111.08566383896095,168.0,293.5926301094919,333.0,348.02250782954206,349.0,476.62767907855914,477.0,487.56447364549695,1
48,2880,0.0,12.845176080467809,13.0,48.747938583120686,,,49.0,86.43145029917241,119.0,157.7372801809738,208.0,335.37314175616984,337.0,353.7073210336903,354.0,479.5649156426284,480.0,490.40987892056137,1
49,2880,0.0,10.4180172750971,11.0,44.09984044235898,,,45.0,74.72282424280729,79.0,106.82491542780554,120.0,249.21659927318524,251.0,264.55632484774287,265.0,368.333478532189,369.0,380.6360003922546,1
50,2880,0.0,10.4180172750971,11.0,44.09984044235898,,,45.0,74.72282424280729,79.0,106.82491542780554,120.0,249.59090813503417,251.0,265.36798776806745,266.0,367.4936239926583,368.0,378.58188939971615,1
51,2880,0.0,14.804659638241901,43.0,77.658029370029,,,78.0,126.40357043210543,137.0,197.420225457975,219.0,343.77849041124045,370.0,387.19639903942425,388.0,503.884940903135,504.0,517.060918240396,1
52,2880,0.0,14.804659638241901,43.0,77.658029370029,,,78.0,126.40357043210543,137.0,197.420225457975,231.0,372.43181341621994,374.0,393.6534015342686,394.0,513.9221714710939,514.0,524.1067146218898,1
53,2880,11.0,24.403863939195162,45.0,78.09877180514741,,,79.0,125.02193496544578,126.0,218.72289765434925,240.0,368.5998472491028,370.0,391.9313902454842,392.0,524.552532245284,525.0,537.3155409162841,1
54,2880,24.0,39.505898392152176,86.0,128.02962480933866,,,129.0,218.28029741624277,229.0,255.99432123435236,268.0,391.06606997233985,458.0,511.26176181651454,512.0,625.6657496698281,626.0,637.9451841576506,1
55,2880,24.0,39.505898392152176,86.0,128.02962480933866,,,129.0,218.28029741624277,229.0,255.99432123435236,290.0,456.2480168089696,461.0,501.01387545788793,502.0,615.259943788315,616.0,627.9849885448225,1
