,time_in,sample_receipt_in,sample_receipt_out,sample_prep_auto_in,sample_prep_auto_out,sample_prep_manual_in,sample_prep_manual_out,sample_heat_in,sample_heat_out,rna_extraction_in,rna_extraction_out,pcr_prep_in,pcr_prep_out,pcr_in,pcr_out,data_analysis_indata_analysis_out
0,0,5.0,27.005833865280636,,,28.0,83.70304128532717,84.0,129.29972124517766,161.0,287.3816315706614,289.0,326.43888413015935,327.0,433.40434781693125,
1,0,54.0,76.01984888487877,,,77.0,126.67623783910598,127.0,151.3987391459333,168.0,293.9953868125655,295.0,331.75993572823023,332.0,441.69602372195743,
2,0,54.0,76.01984888487877,,,77.0,126.67623783910598,127.0,151.3987391459333,168.0,298.01910192848135,300.0,338.0747573036155,339.0,443.946773749049,
3,0,29.0,52.63044010976341,,,53.0,135.26562218806288,136.0,172.76758874653063,188.0,316.2155455233401,318.0,354.56573026497546,355.0,462.59427810432965,
4,0,30.0,55.73725890889751,,,76.0,146.32241998089273,147.0,175.27985287719585,195.0,317.5618814905921,319.0,356.1941402302684,357.0,463.91950658406444,
5,0,30.0,55.73725890889751,,,76.0,146.32241998089273,147.0,175.27985287719585,195.0,318.54544125613944,320.0,357.50147269130673,358.0,465.77167573692265,
6,0,5.0,29.030414112993324,,,30.0,120.45710755618508,121.0,228.65597340385398,239.0,363.7946432621698,365.0,400.32887094391526,401.0,509.4881923331758,
7,0,76.0,99.17718976680001,138.0,188.3052845100768,,,189.0,230.932654532391,248.0,372.1382379529385,374.0,411.919264836562,412.0,520.512323961486,
8,0,76.0,99.17718976680001,138.0,188.3052845100768,,,189.0,230.932654532391,248.0,379.08341273478504,381.0,418.38683770576864,419.0,524.973685735779,
9,0,56.0,80.04590993870684,,,94.0,157.8802505617517,158.0,261.8234871037851,278.0,405.4675281067661,407.0,443.64015062651504,444.0,550.7486559759232,
10,0,104.0,127.9170292367662,,,158.0,244.1186814671134,245.0,272.3508806848908,289.0,412.61444067107453,414.0,448.95543931137763,449.0,558.353752988668,
11,0,104.0,127.9170292367662,,,158.0,244.1186814671134,245.0,272.3508806848908,289.0,416.05670108124934,418.0,454.03356293386565,455.0,559.2461460496834,
12,0,51.0,74.96003808507086,,,99.0,269.32426882850405,270.0,310.2164752186055,328.0,457.55344859940357,459.0,496.64238842640947,497.0,601.2275566738396,
13,0,229.0,251.6935929366878,252.0,298.86105962464563,,,299.0,326.10613548741594,338.0,466.44037481503966,468.0,503.9684393472052,504.0,608.2546110760084,
14,0,173.0,201.64630598059324,,,246.0,291.8853983910557,292.0,319.9105178041862,345.0,468.63196046559915,470.0,506.8172834478894,507.0,613.5067381850585,
15,0,5.0,30.9171214121298,,,31.0,305.7912518438484,306.0,343.32280847519763,360.0,482.97901831420876,484.0,521.4333110727653,522.0,625.7773514707612,
16,0,208.0,232.68368887820563,233.0,281.95702060637296,,,282.0,324.8395458558454,352.0,479.3137069215246,481.0,517.2208343640986,518.0,630.7468942266813,
17,0,5.0,30.9171214121298,,,31.0,305.7912518438484,306.0,343.32280847519763,360.0,487.6828229581768,489.0,528.9661321794357,529.0,635.8379454049434,
18,0,53.0,76.54440066719734,,,270.0,323.1924142687643,324.0,358.7016256274599,374.0,497.0524174692978,499.0,538.8259884243658,539.0,645.6107063153526,
19,0,56.0,234.5672480826499,,,303.0,356.92902672498894,357.0,387.49036010699547,398.0,523.2303886561851,525.0,560.516506561779,561.0,666.8069649921484,
20,0,56.0,234.5672480826499,,,303.0,356.92902672498894,357.0,387.49036010699547,398.0,524.3448475133104,526.0,566.2266944531995,567.0,677.1797261668859,
21,0,104.0,126.13289449130404,,,334.0,382.93129682738135,383.0,425.8929371177053,464.0,587.1794768159878,589.0,626.9105127496966,627.0,731.7340462548398,
22,0,334.0,356.4565858707024,,,378.0,428.6860847056594,429.0,464.4527173204277,478.0,606.1319525804219,608.0,645.663387074749,646.0,754.9839224345486,
23,0,334.0,356.4565858707024,,,378.0,428.6860847056594,429.0,464.4527173204277,478.0,606.3863187440842,608.0,645.6945957443752,646.0,754.0100204775674,
24,0,53.0,79.40076653015092,,,390.0,443.49957677229327,444.0,492.78239633176764,515.0,645.2427132272268,647.0,682.101548070023,683.0,789.9135924651353,
25,0,150.0,223.14884314337291,,,342.0,389.5308814390655,390.0,501.8667324360146,522.0,651.7629188919213,653.0,691.3666394328795,692.0,796.6790958836559,
26,0,150.0,223.14884314337291,,,342.0,389.5308814390655,390.0,501.8667324360146,522.0,649.6584656406785,651.0,688.8797510574936,689.0,797.25663831396,
27,0,365.0,388.3351676454914,389.0,471.4616416465761,,,472.0,525.9835874327638,538.0,665.7391666302573,667.0,705.9248111843168,706.0,816.2046494102741,
28,0,275.0,299.44049122110215,,,397.0,535.2532366938287,536.0,566.6192726904501,578.0,703.4630623393994,705.0,742.2068897235719,743.0,847.5431738318193,
29,0,275.0,299.44049122110215,,,397.0,535.2532366938287,536.0,566.6192726904501,578.0,705.9832808186751,707.0,743.2778630031106,744.0,850.2327132019041,
30,0,261.0,283.3162868259627,,,299.0,347.853187097897,348.0,569.253368553869,593.0,718.682331797792,720.0,756.3108256654772,757.0,867.2290885541685,
31,0,248.0,272.1301568852989,,,471.0,528.067369232967,529.0,568.8285525056722,600.0,726.3335662297644,728.0,764.539616247219,765.0,870.6959776108805,
32,0,248.0,272.1301568852989,,,471.0,528.067369232967,529.0,568.8285525056722,600.0,724.2218010470779,726.0,765.8437228395317,766.0,871.5686262543525,
33,0,289.0,314.31752755556295,,,517.0,574.5728571612768,575.0,636.72673561202,648.0,773.2770895107527,775.0,810.5751261000571,811.0,917.3008339827192,
34,0,53.0,77.15834181015099,,,79.0,593.244737554446,594.0,639.4013540124157,659.0,787.2651458957646,789.0,826.4629895915406,827.0,930.592787179236,
